year,month,day_of_month,holiday
2018,1,1,New Year
2018,1,14,Revolution and Youth Day
2018,3,20,Independence Day
2018,4,9,Martyrs' Day
2018,5,1,Labour Day
2018,6,15,Eid al-Fitr
2018,6,16,Eid al-Fitr
2018,6,17,Eid al-Fitr
2018,7,25,Republic Day
2018,8,22,Eid al-Adha
2018,8,23,Eid al-Adha
2018,8,21,Eid al-Adha
2018,9,12,Muharram
2018,10,15,Evacuation Day
2018,11,21,The Prophet's Birthday
2017,1,1,New Year
2017,1,14,Revolution and Youth Day
2017,3,20,Independence Day
2017,4,9,Martyrs' Day
2017,5,1,Labour Day
2017,6,25,Eid al-Fitr
2017,6,26,Eid al-Fitr
2017,6,27,Eid al-Fitr
2017,7,25,Republic Day
2017,9,1,Eid al-Adha
2017,9,2,Eid al-Adha
2017,9,3,Eid al-Adha
2017,9,12,Muharram
2017,10,15,Evacuation Day
2017,12,1,The Prophet's Birthday
2018,5,16,Start of Ramadan
2018,6,14,End of Ramadan
2017,5,26,Start of Ramadan
2017,6,24,End of Ramadan
2016,6,6,Start of Ramadan
2016,7,5,End of Ramadan
2016,9,12,Eid al-Adha
2016,9,13,Eid al-Adha
2016,9,14,Eid al-Adha
2016,7,6,Eid al-Fitr
2016,7,7,Eid al-Fitr
2016,1,1,New Year
2016,1,14,Revolution and Youth Day
2016,3,20,Independence Day
2016,4,9,Martyrs' Day
2016,5,1,Labour Day
2016,6,15,Eid al-Fitr
2016,6,16,Eid al-Fitr
2016,6,17,Eid al-Fitr
2016,7,25,Republic Day
2016,8,22,Eid al-Adha
2016,8,21,Eid al-Adha
2016,9,12,Muharram
2016,10,15,Evacuation Day
2016,12,12,The Prophet's Birthday
2014,1,1,New Year
2014,1,14,The Prophet's Birthday
2014,1,14,Revolution and Youth Day
2014,3,20,Independence Day
2014,4,9,Martyrs' Day
2014,5,1,Labour Day
2014,7,25,Republic Day
2014,7,29,Eid al-Fitr
2014,7,30,Eid al-Fitr
2014,7,31,Eid al-Fitr
2014,10,4,Eid al-Adha
2014,10,5,Eid al-Adha
2014,10,15,Evacuation Day
2014,10,25,Muharram
2014,6,28,Start of Ramadan
2014,7,28,End of Ramadan
2015,1,1,New Year
2015,1,3,The Prophet's Birthday
2015,1,14,Revolution and Youth Day
2015,3,20,Independence Day
2015,4,9,Martyrs' Day
2015,5,1,Labour Day
2015,7,18,Eid al-Fitr
2015,7,19,Eid al-Fitr
2015,7,20,Eid al-Fitr
2015,7,25,Republic Day
2015,9,24,Eid al-Adha
2015,9,25,Eid al-Adha
2015,9,26,Eid al-Adha
2015,10,15,Muharram
2015,10,15,Evacuation Day
2015,12,24,The Prophet's Birthday
2015,6,17,Start of Ramadan
2015,7,16,End of Ramadan
2019,1,1,New Year
2019,1,14,Revolution and Youth Day
2019,3,20,Independence Day
2019,4,9,Martyrs' Day
2019,5,1,Labour Day
2019,6,4,Eid al-Fitr
2019,6,5,Eid al-Fitr
2019,6,6,Eid al-Fitr
2019,7,25,Republic Day
2019,8,11,Eid al-Adha
2019,8,12,Eid al-Adha
2019,8,31,Muharram
2019,10,15,Evacuation Day
2019,11,9,The Prophet's Birthday
2019,5,5,Start of Ramadan
2019,6,3,End of Ramadan
